    LAYER  SECTOR    WIRE      GAIN
        2      28       3    0.001842
        2      28       4    0.001714
        2      28       5    0.002133
        2      28       6    0.001595
        2      28       7    0.001784
        2      28       8    0.001725
        2      28       9    0.002047
        2      28      10    0.002011
        2      29       0    0.001471
        2      29       1    0.002116
        2      29       2    0.001820
        2      29       3    0.001568
        2      29       4    0.001948
        2      29       5    0.001828
        2      29       6    0.001638
        2      29       7    0.001617
        2      29       8    0.001753
        2      29       9    0.001951
        2      29      10    0.001807
        2      30       0    0.001579
        2      30       1    0.002116
        2      30       2    0.001692
        2      30       3    0.001622
        2      30       4    0.001891
        2      30       5    0.001856
        2      30       6    0.002149
        2      30       7    0.001627
        2      30       8    0.002045
        2      30       9    0.002011
        2      30      10    0.002087
        2      31       0    0.001494
        2      31       1    0.002081
        2      31       2    0.001774
        2      31       3    0.001823
        2      31       4    0.001760
        2      31       5    0.001871
        2      31       6    0.001851
        2      31       7    0.001542
        2      31       8    0.001819
        2      31       9    0.001905
        2      31      10    0.001883
        3       0       0    0.001658
        3       0       1    0.003426
        3       0       2    0.002015
        3       0       3    0.002060
        3       0       4    0.002373
        3       0       5    0.002184
        3       0       6    0.001736
        3       0       7    0.001868
        3       0       8    0.001799
        3       0       9    0.002095
        3       0      10    0.002181
        3       1       0    0.001640
        3       1       1    0.002454
        3       1       2    0.002475
        3       1       3    0.001834
        3       1       4    0.001979
        3       1       5    0.002090
        3       1       6    0.001911
        3       1       7    0.001838
        3       1       8    0.001815
        3       1       9    0.002559
        3       1      10    0.002297
        3       2       0    0.001478
        3       2       1    0.002155
        3       2       2    0.001815
        3       2       3    0.002059
        3       2       4    0.001960
        3       2       5    0.002721
        3       2       6    0.001722
        3       2       7    0.001587
        3       2       8    0.001662
        3       2       9    0.002424
        3       2      10    0.002509
        3       3       0    0.001508
        3       3       1    0.002110
        3       3       2    0.002562
        3       3       3    0.002746
        3       3       4    0.002461
        3       3       5    0.002300
        3       3       6    0.001901
        3       3       7    0.001520
        3       3       8    0.001703
